#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_1p0668mm_SINGLE_LAYER"
5.324724317E-01 9.144000411E-01 -2.723562904E-02
5.324724317E-01 9.144000411E-01 -2.723563090E-02
5.324661136E-01 9.144000411E-01 -2.732502110E-02
5.324599147E-01 9.144000411E-01 -2.741441317E-02
5.324599147E-01 9.144000411E-01 -2.741441317E-02
5.324535966E-01 9.144000411E-01 -2.750380710E-02
5.324535966E-01 9.144000411E-01 -2.750380710E-02
5.324473977E-01 9.144000411E-01 -2.759319916E-02
5.324473977E-01 9.144000411E-01 -2.759319916E-02
5.324410796E-01 9.144000411E-01 -2.768259309E-02
5.324410796E-01 9.144000411E-01 -2.768259309E-02
5.324348807E-01 9.144000411E-01 -2.777198330E-02
5.324348807E-01 9.144000411E-01 -2.777198516E-02
5.324285626E-01 9.144000411E-01 -2.786137722E-02
5.324285626E-01 9.144000411E-01 -2.786137722E-02
5.324223638E-01 9.144000411E-01 -2.795077115E-02
5.324223638E-01 9.144000411E-01 -2.795077115E-02
5.324161649E-01 9.144000411E-01 -2.804016322E-02
5.324161649E-01 9.144000411E-01 -2.804016508E-02
5.324098468E-01 9.144000411E-01 -2.812955715E-02
5.324098468E-01 9.144000411E-01 -2.812955715E-02
5.324036479E-01 9.144000411E-01 -2.821895108E-02
5.324036479E-01 9.144000411E-01 -2.821895108E-02
5.323973894E-01 9.144000411E-01 -2.830834314E-02
5.323973894E-01 9.144000411E-01 -2.830834314E-02
5.323911309E-01 9.144000411E-01 -2.839773707E-02
5.323911309E-01 9.144000411E-01 -2.839773707E-02
5.323848724E-01 9.144000411E-01 -2.848713100E-02
5.323848724E-01 9.144000411E-01 -2.848713100E-02
5.323786139E-01 9.144000411E-01 -2.857652307E-02
